Distrito,PP,PodemosIU,PSOE,Ciudadanos,Pacma,Vox,UPyD,RecortesCero,FEJONS,PCPE,PH,SAIn,PLIB,Abstencion,Nulo,Blanco
Arganzuela,33260,22736,16327,16047,833,505,488,162,82,69,36,27,26,26986,514,467
Barajas,10856,4723,4384,5848,275,111,115,42,26,14,12,4,12,7396,160,127
Carabanchel,41122,27703,26318,17215,1206,548,494,308,134,140,98,55,33,54418,1003,622
Centro,20731,23760,11643,9737,835,327,335,166,56,65,33,23,16,28453,336,339
Chamberi,44201,12681,11324,15234,584,684,386,143,68,25,33,20,20,23129,426,449
Ciudad Lineal,50480,21939,21890,19635,1175,590,438,227,105,108,71,29,49,43056,740,610
Fuencarral-Pardo,63268,21548,23287,26655,1016,839,599,226,110,95,50,32,37,39158,703,680
Latina,48519,29192,26670,17887,1514,657,795,342,126,130,119,34,38,48807,998,671
Moncloa-Aravaca,34903,10872,10146,11914,533,445,291,77,34,33,29,26,11,18192,334,332
Moratalaz,20951,13182,12017,8455,594,270,214,113,51,43,28,11,13,18869,313,292
Puente-Vallecas,25761,37002,30537,12425,1479,273,352,323,123,174,107,38,62,55371,752,588
Salamanca,49908,9971,10090,15422,589,733,295,101,47,39,19,21,28,24009,414,387
San Blas,27152,18984,18228,14590,998,357,335,221,107,280,53,20,23,31438,555,427
Tetuan,33780,15031,14160,13140,805,501,367,186,84,47,58,39,30,32303,455,431
Usera,17437,15743,15540,7967,723,193,434,177,81,281,44,27,18,31330,426,301
Villa Vallecas,13688,15666,11725,9569,721,171,231,150,54,71,32,17,21,20154,433,280
Villaverde,18780,17279,18280,9130,772,227,261,199,106,69,62,25,15,31406,508,358
